文字起こし結果

ファイル名: 20251014103118_20251014_153308.mp3
会議日時: 2025/10/13 15:33
処理日時: 2025-10-14T15:35:58.565678

========================================

[00:00:00] 話者A: と、僕からなんですけど、ちょっとあの、ま、ずっと前から言ってる、あ、画面共有してねえや。
[00:00:07] 話者A: あの、
[00:00:09] 話者A: なんだけ、ヘルパーとか、あの、なんだけ、えっと、ファイルで連携するやつじゃないですか、ジョブセンターに対して。
[00:00:17] 話者A: アップロード。
[00:00:18] 話者B: はい。
[00:00:20] 話者A: で、それちょっとあの、へ、あの、なんだけな、えっと、サポートちょっと聞いて、今週中に聞いてきますんで。
[00:00:25] 話者B: はい。
[00:00:26] 話者A: なんかいい方法ねえか。
[00:00:27] 話者B: ああ、はい。
[00:00:28] 話者A: あの、あの番号が、
[00:00:30] 話者A: あれじゃないですか。あの、ちょっと環境によって発番されちゃって、ちょっとIDが1じゃないとできないって話か、ん、可能性があるんで。
[00:00:38] 話者A: ちょっと、なんかいい方法ねえかっていうのを、ちょっとこれ、あの、課題作りましたんで、ちょっと、えっと、聞いてみますんで、はい。
[00:00:46] 話者A: よろしくお願いします、という感じですね。
[00:00:48] 話者A: で、あと、辻さんありがとうございました。あの、
[00:00:51] 話者A: えっと、チェックの処理削除してくださる件、ありがとうございます。
[00:00:55] 話者A: てことですね。
[00:00:56] 話者A: で、あとは、
[00:01:00] 話者A: そんなとこかな、僕から行って。で、
[00:01:03] 話者A: あれっすね、えっと、特に、追加で辻さんにちょっと急ぎでお願いするってこともないんですけど、
[00:01:08] 話者B: はい。
[00:01:10] 話者A: あの、テスト、あと本番環境、あのテストやったやつなの、あの、稼働
[00:01:15] 話者B: はい。
[00:01:16] 話者A: の登録ですね。なんかちょっとしといていただけると嬉しいかなと思います。はい。
[00:01:20] 話者A: そんな感じでございます。はい。
[00:01:22] 話者B: はい。
[00:01:23] 話者A: 僕のから以上でございます。
[00:01:24] 話者A: 辻さんの方から、何かありますかね？
[00:01:27] 話者B: えーと、ちょっと2点確認というか、あれなんだけど。
[00:01:30] 話者A: あ、どうぞ。
[00:01:31] 話者B: はい。
[00:01:32] 話者B: えーっと、今本番の方で、えっと、稼働確認を進めようとしてるんですけど、ちょっとあの、
[00:01:38] 話者A: はい。
