文字起こし結果

ファイル名: 20251015103137_20251016_092718.mp3
会議日時: 2025/10/16 09:25
処理日時: 2025-10-16T09:28:30.122513

========================================

[00:00:00] 話者1: えっ、ちょっと資料を共有してないんですけど、あの
[00:00:02] 話者1: えっと、薄緑環境じゃなかった。えっと、新AWSサーバーなんですけど、HTTPからHTTPSに、変更されるんですよ。
[00:00:12] 話者1: はい。なんで、ちょっとそれが終わったらちょっと関係者にちょっと周知しようかと思ってますので、ちょっとよろしくお願いし ますというところですね。はい。それが1点と、で、あとはあの、なんだっけ？
[00:00:23] 話者1: サポートに質問一応投げとけました。あの、例の件。
[00:00:26] 話者2: はい。
[00:00:27] 話者1: えっとですね。
[00:00:29] 話者1: えっと、
[00:00:30] 話者1: なんだったっけ？一応バックログに貼っといたんですけど。
[00:00:36] 話者1: あとですね、ちょっと言っとかなきゃいけないことがあって、あの、パスの件あったじゃないですか。パスってか、エラーが出る件。
[00:00:41] 話者2: ああ、はい、長すぎる「と」っていうやつですね。
[00:00:44] 話者1: あ、そうそうそうそう。で、それあの、追加でその、パス長すぎるんだけど、みたいな話をちょっと投げてる気満々でいたんだけど、でも送信ボタンを押し忘れてたらしくて。ちょっと昨日、昨日急遽押しましたっていう感じです。一応こういう形で投げときます。あの、例の件は。
[00:01:02] 話者1: 一応三環境やります。で、運用しようと思ってます。IDかぶってんだけどなんかいい方法あるって話と、はい。
[00:01:08] 話者1: あと標準的な運用方法、なんかあれば教えてくれと。
[00:01:11] 話者2: はい。そうですね。
[00:01:13] 話者1: あまり、あまり期待せずに来るかなと。うん、というちょっと質問投げてるんですけど。
[00:01:19] 話者1: という状況でございます。はい。
[00:01:21] 話者2: はい。
[00:01:22] 話者1: で、あとは、ちょっとテスト設計がちょっとサボってた部分があったので、今一生懸命あの、また着手始めました。あのドクターサ村関係のやつをやってるので、ま、ちょっとそこ でやってますと。作ってます。で、ドクターサ村のやつがですね、結構、
[00:01:39] 話者1: あの、これ、見えますかね？元々のこの作りがすごい複雑なんですよ。
[00:01:44] 話者2: ああ、はい。
[00:01:45] 話者1: これね。で、何々が、終わったらこう。で、一応それを鑑みた形でフローを作ってるんですけど。
[00:01:52] 話者1: あの、ちょっと俺がやらかしてねえかってのがちょっと非常に不安ではあるんですけど、一応これ作ってますって形で、もしかしたら辻さんちょっとこれすみません、確認してってお願いするかもしれないんで、よろしくし、あの、お願いしますって感じです。
[00:02:04] 話者2: はい。
[00:02:06] 話者1: あの、めんどくさそうなやつちょっと全部辻さんにお願いする気満々ではないんですけど、あの、ちょっと泣き、泣きが入るかもしれないです。はい。という感じでございます。はい。
[00:02:15] 話者1: そんな感じかな。ちょっと僕からは以上でございますね。はい。
[00:02:19] 話者2: はい。
[00:02:19] 話者2: えっ、辻さんのから何かありますかね？
[00:02:22] 話者2: ですね。ちょっと昨日からあの、本番環境の方での確認はちょっとスタート、ちょっとしてみてたんですけど。
[00:02:29] 話者1: そうそうそうそう。
[00:02:30] 話者2: そうですね。あの、取りマスのコピーのところから、ま、ちょっと簡単なところからと思って、えっと、やってて、えっと、とりあえずは
[00:02:38] 話者1: これですね。はい。
