文字起こし結果

ファイル名: 20251015103137_20251016_093923.mp3
会議日時: 2025/10/16 09:39
処理日時: 2025-10-16T09:41:00.489549

========================================

[00:00:00] 話者A: え、ちょっと資料とでをしてないんですけど、あの、えっと、薄緑環境じゃなかった。えっと、新AWSサーバーなんですけど、HTTPからHTTPSに変換されるんですよ。
[00:00:12] 話者A: なんで、ちょっとそれが終わったら、ちょっと関係者に周知しようかと思ってますので、ちょっとよろしくお願いしますというところですね。
[00:00:19] 話者A: はい。ま、それが1点と、で、あとはあの、なんだっけ？サポートに質問一応投げとけました。あの、例の件。
[00:00:26] 話者A: はい。えっとですね。
[00:00:29] 話者A: えっと、なんだっけ？一応バックログに貼っといたんですけど。
[00:00:36] 話者A: あとですね、ちょっと言っとかなきゃいけないことがあって、あの、パスの件あったじゃないですか。パスってか、エラーが出る件。
[00:00:41] 話者B: ああ、はい。長すぎるとっていうやつですね。
[00:00:44] 話者A: あ、そうそうそうそう。
[00:00:45] 話者A: で、それ、あの、追加でそのパス長すぎんだけどみたいな話をちょっと投げてる気満々でいたんだけど。
[00:00:52] 話者A: で、も、送信ボタンを押し忘れてたらしくて、ちょっと昨日、昨日急遽押しましたっていう感じです。
[00:00:58] 話者A: 一応こういう形で投げときます。あの、例の件は。
[00:01:02] 話者A: 一応3環境やります。で、運用しようと思ってます。ID被ってんだけど、なんかいい方法があるって話と。
[00:01:08] 話者A: あと標準的な運用方法をなんかあれば教えてくれと。
[00:01:11] 話者B: はい、そうですね。
[00:01:14] 話者A: あんまり、あんまり期待せずにくるかなと。
[00:01:16] 話者A: うん、というちょっと質問投げてんですけど、っていう状況でございます。
[00:01:21] 話者A: はい。
[00:01:22] 話者A: で、あとは、ちょっとテスト設計がちょっとサボってた部分があったので、今一生懸命あの、また着手し始めました。
[00:01:30] 話者A: あの、ドクターサムライ関係のやつをやってるので、ま、ちょっとそこをで、やってますと。作ってます。
[00:01:36] 話者A: で、ドクターサムライのやつがですね、結構、あの、これ、見えますかね？元々のこの作りがすごい複雑なんですよ。
[00:01:44] 話者B: ああ。
[00:01:45] 話者B: はい。
[00:01:46] 話者A: これね。で、何々が、終わったらこう、で、一応それを加味した形でフローを作ってるんですけど。
[00:01:52] 話者A: あの、ちょっと俺がやらかしてねえかってのが非常に不安ではあるんですけど。一応これ、作ってますって感じで、もしかしたら辻さんちょっとこれ、すいません、確認してっていう話になるかもしれないんで、よろしくお願いします。
