文字起こし結果

ファイル名: 20251015103137_20251016_094418.mp3
会議日時: 2025/10/16 09:44
処理日時: 2025-10-16T09:45:52.015376

========================================

[00:00:39] 話者1: え、ちょっと資料は飛び押してないんですけど、あの、
[00:02:44] 話者1: えっと、薄緑環境じゃなかった、えっと、新AWSサーバーなんですけど、HTTPからHTTPSにへ、変更されるんですよ。
[00:12:44] 話者1: はい。なんで、ちょっとそれが終わったらちょっと関係者にちょっと周知しようかと思ってますので、ちょっとよろしくお願いします。
[00:18:24] 話者1: っていうとこですね。はい。それは1点と、で、あとは、あの、なんだっけ？
[00:23:01] 話者1: サポートに質問一応投げときました。あの、例の件。
[00:26:40] 話者2: はい。
[00:26:65] 話者1: えっとですね。
[00:29:48] 話者1: えっと、
[00:30:48] 話者1: ああ、なんだっけ？一応バックログに、えっと、貼っといたんですけど。
[00:36:44] 話者1: あとですね、ちょっと言っとかなきゃいけないことがあって、あの、パスの件あったじゃないですか。パスというかエラーが出る件。
[00:41:63] 話者2: ああ、はい。長すぎるとっていうやつですね。
[00:44:23] 話者1: あ、そうそうそうそう。で、それあの、
[00:46:27] 話者1: 追加でその、
[00:48:47] 話者1: パス長すぎんだろみたいな話をちょっと投げてる気満々でいたんだけど、
[00:52:43] 話者2: はい。
[00:52:53] 話者1: どうも送信ボタンを押し忘れてたらしくて。
[00:55:73] 話者1: ちょっと昨日、昨日急遽押しましたっていう感じです。一応こういう形で投げときました。
[01:00:43] 話者1: あの、例の件は。
[01:02:30] 話者1: 一応3環境やります。で、運用しようと思ってます。ID被ってんだからなんかいい方があるって話と。
[01:07:95] 話者2: はい。
[01:08:44] 話者1: あと標準的な運用方法、なんかあれば教えてくれと。
[01:11:58] 話者2: はい、そうですね。
[01:13:96] 話者1: あまり、あまり期待せずに来るかなと。
[01:17:36] 話者1: うん、というちょっと質問投げてるんですけど。
[01:19:92] 話者1: という状況でございます。はい。
[01:21:84] 話者2: はい。
[01:22:64] 話者1: で、あとはちょっとテスト設計をちょっとサボってた部分があったので、今一生懸命あの、
[01:28:98] 話者1: ま、また着手始めました。あのドクターさむらい関係のやつをやってるので、ま、ちょっとそこを
[01:34:40] 話者1: でやってますと、作ってます。でドクターさむらいのやつがですね、結構、
[01:39:56] 話者1: あの、これ見えますかね。元々この、
[01:42:33] 話者1: 作り方がすごい複雑なんですよ。
[01:44:83] 話者2: ああ。はい。
[01:45:67] 話者1: これね。で、何々が終わったらこうで、一応それを加味した形でフロー作ってるんですけど。
[01:52:03] 話者1: あの、
[01:53:77] 話者1: ちょっと俺がやらかしてねえかってのはちょっと非常に不安ではあるんですけど、一応これ、
[01:58:36] 話者1: 作って回して。で、もしかしたら辻さんちょっとこれすいません確認してってお願いするかもしれないんで、よろしくしょ。
[02:04:84] 話者1: あの、お願いします。って感じ。
[02:06:51] 話者2: はい。
[02:06:84] 話者1: あの、めんどくさそうなやつちょっと全部辻さんにお願いする気満々ではないんですけど、あの、ちょっと泣きが、
[02:11:80] 話者1: 投げが入るかもしれない。
[02:13:21] 話者2: はい。
[02:13:90] 話者1: っていう感じでございます。はい。
[02:15:26] 話者1: そんな感じかな。ちょっと僕から以上でございますね。はい。
[02:19:15] 話者2: はい。
[02:20:00] 話者1: 辻さんの方から何かありますかね？
[02:21:55] 話者2: そうですね、ちょっと昨日からあの、本番環境の、方での確認をちょっとスタート、ちょっと、してみてたんですけど。
[02:29:43] 話者1: そうだそうだ。
[02:30:22] 話者2: あの、
[02:30:57] 話者2: そうです、あの、取りマスのコピーのところから、ま、ちょっと簡単なところからと思って、えっと、やってて、えっと、とりあえずは、
[02:37:74] 話者1: これですね。はい。
[02:38:70] 話者2: はい、あの、今日あの、エラーをポンポンと発生させて、まあ、メールが届いてるかと思うんですけど。
[02:45:07] 話者2: ここって、えっと、件名のところデブがついてるのはもうオッケーっていうのがなんかどっかでやり取りが
[02:51:30] 話者2: 大丈夫です。
[02:51:30] 話者1: もういいですいいですもういいです。あの、あの、いいですいいです。あの、取っ払おうかと思ったんですけど、もうちょっとあの、
[02:57:33] 話者1: 今更取っ払うと大惨事なんで、あの、
[02:59:75] 話者2: そうですね。いろんなところにありそうですね。
[03:00:83] 話者1: はい。最悪、あの、全部一通りテストだったら、あの、措置感って言うですね、貴重な手を使おうかというのもあります。
[03:09:63] 話者1: あの、ちょ、ちょっと今更言えねえなっていう感じでございます。
[03:14:03] 話者2: はい、わかりました。じゃあ、雑魚のところはオッケーとして、ま、もうまもなく、えっと、とりあえずは終わりそうなので、えっと、続けて、まあ、
