文字起こし結果

ファイル名: 20251015103137_20251016_095618.mp3
会議日時: 2025/10/16 09:56
処理日時: 2025-10-16T09:57:37.211740

========================================

[00:00:00] 話者A: えっ、ちょっと資料と用意してないんですけど、あの、えっと、薄緑環境じゃなかった、えっと、新AWSサーバーなんですけど、HTTPからHTTPSに、変更されるんですよ。はい。
[00:00:12] 話者A: なんで、ちょっとそれが終わったら、ちょっと関係者にちょっと周知しようかと思ってますので、ちょっとよろしくお願いし、ますというところですね。はい。
[00:00:19] 話者A: ま、それは1点と、で、あと、あの、なんだっけ？サポートに質問、一応投げときました。あの、例の件。
[00:00:26] 辻: はい。
[00:00:26] 話者A: えっとですね。
[00:00:29] 話者A: えっと、何だっけ？
[00:00:31] 話者A: 一応バックログに、えっと、貼っといたんですけど。
[00:00:36] 話者A: あとですね、ちょっと言っとかなきゃいけないことがあって、あの、パスの件あったじゃないですか。パスってか、エラーが出る件。
[00:00:41] 辻: ああ、はい。長すぎるというやつですね。
[00:00:44] 話者A: あ、そうそうそうそう。で、それ、あの、追加でそのパス長すぎんだけどみたいな話をちょっと投げてた気満々でいたんだけど、でも送信ボタンを押し忘れちゃったらしくて。
[00:00:55] 話者A: ちょっと昨日、昨日急遽押しましたっていう感じです。一応こういう形で投げときました。あの、例の件は。
[00:01:02] 話者A: 一応3環境やります。で、運用しようと思ってます。IDかぶってんだけど、なんかいい方があるって話と。
[00:01:08] 話者A: あと標準的な運用方法、なんかあれば教えてくれと。
[00:01:11] 辻: はい。そうですね。
[00:01:14] 話者A: あまり、あまり期待せずに、来るかなと。うん、というちょっと質問投げてたんですけど。という状況でございます。はい。
[00:01:22] 辻: はい。
[00:01:22] 話者A: で、あとは、ちょっとテスト設計がちょっとサボってた部分があったので、今一生懸命あの、また着手始めました。あの、ドクターサムラ関係のやつをやってるのので、ま、ちょっとそこをでやってますと。作ってまして。
[00:01:36] 話者A: で、ドクターサムラやつがですね、結構、あの、これ、見えますかね？元々、この、作りがすごい複雑なんですよ。
[00:01:44] 辻: ああ。はい。
[00:01:45] 話者A: これね。で、何々が終わったらこうで、一応それを鑑みた形でフローを作ってるんですけど。
[00:01:52] 話者A: あの、ちょっと俺がやらかしてねえかってのがちょっと非常に不安ではあるんですけど、一応これ作ってますという感じで、もしかしたら辻さんちょっとこれすいません確認してってお願いすることがもしんないんで、よろしく。あの、お願いしますって感じです。
[00:02:06] 辻: はい。
[00:02:07] 話者A: あの、面倒くさそうなやつちょっと全部辻さんにお願いする気満々ではないんですけど、あの、ちょっと泣き、泣きが入るかもしれないですと。いう感じでございます。はい。
[00:02:15] 辻: はい。
[00:02:16] 話者A: そんな感じかな。ちょっと僕から以上でございますね。はい。
[00:02:19] 辻: はい。
[00:02:20] 話者A: 辻さんの方から何かありますかね。
[00:02:21] 辻: そうですね。ちょっと昨日から、あの、本番環境の、方での確認をちょっとスタート、ちょっと、してみてたんですけど。
[00:02:29] 話者A: そうだそうだ。
[00:02:30] 辻: そうです。あの、取りまうスのコピーのところから、ま、ちょっと簡単なところからと思って、えっと、やってて、えっと、とりあえずは。
[00:02:38] 話者A: こうですね、はい。
[00:02:39] 辻: はい。あの、今日あの、エラーをポンポンと発生させて、ま、メラー、メールが届いてるかと、思うんですけど。ここって、えっと、件名のところデブがついてるのはもうオッケーっていうのがなんかどっかでやり取りがあった。
[00:02:51] 話者A: もういいです、いいです。
[00:02:51] 辻: 大丈夫。
[00:02:52] 話者A: もう、もういいです。あの、あの、いいです、いいです。あの、とっぱらおうかと思ったんですけど。もうちょっと、あの、今更とっぱろうと第三次なんで、あの。
[00:02:59] 話者A: はい、いっか。
[00:03:01] 辻: いろんなところにありそうです。
[00:03:03] 話者A: 最悪、あの、全部一通りテストだったら、あの、ソチ感って言うんですかね、貴重な手を使おうかと、いう、案もあります。あの、ちょ、ちょっと、今更言えねえなっていう感じでございます。
[00:03:14] 辻: はい、わかりました。じゃあ、続のところはオッケーとして、ま、もうまもなく、えっと、とりあえずは終わりそうなので、えっと、続けて、ま、えっと、新しい、ま、何にするかと、決めきれてないですけど、ま、ちょ、とりあえずちょっと簡単なところからいこうかなと。
[00:03:28] 話者A: そうですね、はい。
[00:03:29] 辻: わかりました。
[00:03:30] 話者A: あ、で、そうそう。これ聞こうと思ったんですけど、あの、簡単に、あの、トリマスるの値がちゃんと変わってるよねってのも見といてくださいって話、ちょっとテスト設計に書いてたんですけど。
[00:03:39] 話者A: あの、簡単でいいんで、ちょっと見といていただけると嬉しいかなと思います。あの、名前とか、名前住所、え、あとあれかな？代表者名とかがちゃんと変わってればオッケーなんで。はい。
[00:03:49] 話者A: ちょっと見といていただけると嬉しいかなと思います。はい。
[00:03:52] 辻: はい。承知いたしました。
