文字起こし結果

ファイル名: 20251015103137_20251016_091342.mp3
会議日時: 2025/10/16 09:13
処理日時: 2025-10-16T09:14:47.605446

========================================

[00:00:00] 報告者: ね、ちょっと資料共有してないんですけど、あの、えっと、薄緑環境じゃなかった、えっと、新AWSサーバーなんですけど、HTTPからHTTPSに、え、変更されるんですよ。
[00:00:12] 報告者: はい。なんで、ちょっとそれが終わったら、ちょっと関係者にちょっと周知しようかと思ってますので、ちょっとよろしくお願いし、しますというところですね。
[00:00:19] 報告者: はい。ま、それが1点と、で、あとは、あの、なんだっけ？
[00:00:23] 報告者: サポートに質問一応投げときました。あの、例の件。
[00:00:26] 報告者: はい。えっとですね。
[00:00:29] 報告者: えっと、なんだっけ？
[00:00:31] 報告者: 一応バックログに、えっと、貼っといたんですけど、
[00:00:36] 報告者: あとですね、ちょっと言っとかなきゃいけないことがあって、あの、パスの件あったじゃないですか。パステかエラーが出る件。
[00:00:41] 辻: ああ、はい、長すぎると、っていうやつですね。
[00:00:44] 報告者: あ、そうそうそうそう。で、それ、あの、追加でそのパス長すぎんだけども、みたいな話をちょっと投げる気まんまんでいたんだけど、どうも送信ボタンを押し忘れてたらしくて。
[00:00:55] 報告者: ちょっと昨日、昨日急遽押しましたっていう感じです。一応こういう形で投げときました。あの、例の件は。
[0001:02] 報告者: 一応3環境やります。で、運用しようと思ってます。IDかぶってんだけど、なんかいい方法あるって話と、はい。
[00:01:08] 報告者: あと標準的な運用方法をなんかあれば教えてくれと。
[00:01:11] 辻: はい、そうですね。
[00:01:14] 報告者: あまり、あまり期待せずに来るといいかなと。
[00:01:17] 報告者: うん、というちょっと質問投げてんですけど。
[00:01:20] 報告者: という状況でございます。はい。
[00:01:21] 辻: はい。
[00:01:22] 報告者: で、あとは、ちょっとテスト設計がちょっとサボってた部分があったので、今一生懸命、あの、また着手始めました。あの、ドクターサムライ関係のやつをやてるので、ま、ちょっとそこをで、やってますと。作って。
[00:01:36] 報告者: で、ドクターサムライのやつがですね、結構、あの、これ見えますかね。元々のこの作りがすごい複雑なんですよ。
[00:01:44] 辻: ああー。
[00:01:45] 報告者: はい。これね。で、何々が終わったらこう、で、一応それを鑑みた形でフローを作ってるんですけど。
