文字起こし結果

ファイル名: 20251014103118_20251014_171627.mp3
会議日時: 2025/10/14 17:16
処理日時: 2025-10-14T17:19:09.434619

========================================

[00:00:00] A: えーと、僕からなんですが。
[00:00:01] A: ちょっとあの、ま、ずっと前から言ってる、あ、画面共有してねえや。
[00:00:07] A: あのー、
[00:00:09] A: なんだっけ、ヘルパーとかの、なんだっけ、えっと、ファイルで連携するやつあるじゃないですか、ジョブセンターに対して。
[00:00:17] A: アップロード。
[00:00:18] 辻: はい。
[00:00:20] A: で、それちょっとあの、えー、なんだっけな、えっと、サポートちょっと聞いて、今週中に聞いてきますんで。
[00:00:25] 辻: はい。
[00:00:26] A: なんかいい方法ねえか。
[00:00:27] 辻: ああ。
[00:00:28] A: あのー、あの番号が、あれじゃないですか、あの、ちょっと環境によって発番されちゃって、ちょっとIDが1じゃないとできないって話か、うん、可能性があるので。
[00:00:38] A: ちょっと何かいい方法ねえかっていうのをちょっとこれ、あの、課題作りましたんで、ちょっと、えっと、聞いてみますんで、はい。
[00:00:46] A: よろしくお願いします、という感じですね。
[00:00:48] A: で、あと、辻さんありがとうございました。あのー、
[00:00:51] A: えっと、チェックの処理削除してくださる件、ありがとうございました。ってことですね。
[00:00:56] A: で、あとは、えっとー、そんなとこかな、僕から言ってたの。で、
[00:01:03] A: あれっすね。えっと、特に追加で辻さんにちょっと急ぎでお願いするってこともないんですけど。
[00:01:08] 辻: はい。
[00:01:10] A: あの、テスト、あと、本番環境、あの、テストだったやつの、あの、稼働
[00:01:15] 辻: はい。
[00:01:16] A: の登録っすね。のところちょっとし、していただけると嬉しいかなと思います。はい。
[00:01:20] A: そんな感じです。ございます。はい。
[00:01:22] 辻: はい、はい。
[00:01:24] A: 僕のから以上でございます。辻さんの方から何かありますかね？
[00:01:27] 辻: えっと、ちょっと2点確認というかな、あれなんですが。
[00:01:30] A: あ、どうぞ。
[00:01:31] 辻: はい。
[00:01:32] 辻: えーっと、今本番の方で、えっと、稼働確認を進めようとしてるんですけど、ちょっとあのー、
[00:01:38] A: はい。
[00:01:39] 辻: えーっと、総合テスト、あの林とか鵜野がやってるやつのジョブの登録のところでちょっと中々、あの、うまくいかないことがあって、ちょっと進捗がこれから本格的にやっとスタートできる、いう感じなんですけども。
[00:01:54] 辻: あの、えっと、本番で確認するにあたって、えっと、DBをなんかね、同期を取らないといけないというお話だったじゃないですか。あの、ステージング環境と。
[00:02:05] A: DBの同期？
[00:02:06] 辻: えっと、ステージングと、えっと、本番。
[00:02:09] A: ああ、はいはいはいはいはい。
[00:02:11] A: 画面、画面の話っすね。
[00:02:12] 辻: はい。
