文字起こし結果

ファイル名: 20251014103118_20251014_155931.mp3
会議日時: 2025/10/13 15:59
処理日時: 2025-10-14T16:01:15.800633

========================================

[00:00:00] 話者A: えっ、と、僕からなんですけど、ちょっとあの、ま、ずっと前から言ってる、ああ、画面共有してねえや。あの、なんだっけ、ヘルパーとかの、なんだっけ、えっと、ファイルで連携するやつじゃないですか、ジョブセンターに対して。
[00:00:17] 話者A: アップロード。
[00:00:18] 話者B: はい。
[00:00:20] 話者A: で、それちょっとあの、へ、なんだっけな、えっと、サポートちょっと聞いてみ、今週中に聞いてきますんで。
[00:00:25] 話者B: はい。
[00:00:26] 話者A: なんかいい方向ねえか。
[00:00:27] 話者B: ああ。
[00:00:27] 話者A: あの、あの番号が、あれじゃないですか。あの、ちょっと環境によって発番されちゃってちょっとIDが1じゃないとできないって話か、うん、可能性があるんで。
[00:00:38] 話者A: ちょっと何かいい方向ねえかっていうのをちょっとこれ、あの、課題作りましたんでちょっと、えっと、聞いてみますんで、はい。
[00:00:45] 話者A: よろしくお願いします。という感じですね。
[00:00:48] 話者A: で、あと辻さんありがとうございました。あの、えっと、チェックの処理削除してくださる件、ありがとうございます。ってことですね。
[00:00:56] 話者A: で、あとは、えっと、そんなとこかな僕から言ってて。
[01:02:40] 話者A: で、あれっすね、えっと、特に追加で辻さんにちょっと急ぎでお願いするってこともないんですけど。
[01:08:50] 話者B: はい。
[01:10:00] 話者A: あの、テスト、あと、本番環境、あの、テストはやつなの、あの、稼働の登録ですね。の、ちょっと、やっていただけると嬉しいかなと思います。はい。
[01:20:20] 話者A: そんな感じです。ございます。はい。
[01:22:40] 話者B: はい。
[01:24:00] 話者A: 僕の方から以上でございます。辻さんの方から何かありますかね。
[01:27:30] 話者B: えっと、ちょっと2点確認という、あれなんですが。
[01:30:20] 話者A: あ、どうぞ、はい。
[01:32:30] 話者B: えーっと、今、本番の方で、えっと、稼働確認を進めようとしてるんですけど、ちょっとあの、えーっと、総合テスト、あの、林とか宇野がやってるやつのジョブの登録のところでちょっと中々、あの、うまくいかないことがあって、ちょっと進捗がこれから本格的にやっとスタートできるという感じなんですけども。あの、えーっと、本番で確認するにあたって、えっと、DBをなんか同期を取らないといけないというお話だったじゃないですか。あの、ステージング環境とか。
[02:05:40] 話者A: DBの同期？
[02:06:40] 話者B: えっ、と、ステージングと、えっと、本番。
[02:09:40] 話者A: あ、はいはいはいはいはいはい。
[02:11:40] 話者A: 画面、画面の話っすね。
[02:12:40] 話者B: はい。
[02:13:90] 話者B: で、えっと、新テスト、えっと、ごめんなさい。えっと、本番環境で動かす画面っていうのはあのグレーですよね？確認なんですけど。
[02:24:30] 話者B: グレー画面？
[02:25:50] 話者A: えっと、画面の話、あ、えっと、はい、グレーで合ってます。あの、
[02:33:30] 話者A: テスト、テストじゃねえや。えっと、
[02:36:50] 話者A: 新、えっとね、新、新AWSって言ってるやつですよね。こいつですよね。これ。
[02:46:10] 話者A: あの、多分今日、今日明日までだと思います、でもこれ、変わる予定です。
[02:50:30] 話者B: あ、そうなんすね。
[02:51:30] 話者A: あの、HTTPSがあの、付いてないこいつ。
[02:54:50] 話者B: あ。
[02:55:50] 話者A: なんでHTTP付くやつに、えっと、こ、これと、あとステージングですね。緑、緑。
[03:01:40] 話者B: 緑崎ですね。
[03:02:60] 話者A: これですね。これをやっていただいて。で、確か辻さんのアカウント、登録しといたと思うんすけど、両方とも。
[03:10:70] 話者B: 確か、うん、多分、あの、確認して入れれて、画面の表示までいけたはずですね。
[03:19:60] 話者A: そうっすね。えっと、ぜろ、ぜ、あれっすね、ITじゃない、STゼロ。
[03:25:40] 話者B: ええっと、覚えてない。
[03:27:70] 話者A: まいっか。
[03:30:10] 話者A: まいっか。ま、ちょっと、入れなかったら言ってください。ちょっと、あの、登録したきままでいます。
[03:36:40] 話者B: で、えっと、あの、データの同期を取らないといけないっていうのはその画面上の入力の項目についてのお話でいいんですか。
[03:45:70] 話者A: あ、そうです、そうです。めいりじ、です。あの、他でもちょっとここテストしてるんで、あの、ちょっと同じようなデータ打っとかないと、あの、あれなんか違うぞって話になっちゃうんで、登録してもらう形で考えてます。はい。
[04:00:20] 話者B: テストの、本、えっと、メインで行おうとしてるあの、本番でのバッチ処理、あの、ジョブの稼働については、えっと、本番だけで動かせばいいっていうことですね。
[04:12:80] 話者A: あ、そうです、そうです。本番だけでどんどん動かしていただくて、あの、なんだっけな、えっと、はい、あの、登録してその、動き、ごめんなさいね。動かしっぱなしにしといて、なんか問題が出ないかっていうのを確認する形ですね。はい。
[04:27:30] 話者B: 分かりました。じゃあ、えっと、ちょっと確認は以上なんですけど、えっと、もう一点、あの、先週対応したあの、そのチェック、ジョブのチェックを外す、作業の時に、あの、ジョブネットワークにぶら下がっているユーザブのチェックのところを削除しようとしたんですけども、あの、Excel、ヘルパーのExcel上、そこの部分だけ削除っていうのができなくって、
[04:59:70] 話者B: えっと、Excelヘルパーの中で。
[05:03:90] 話者A: えっと、あ、ごめんなさい。えっと、
[05:06:50] 話者A: え、ど、どういうことだ。
[05:09:60] 話者B: えっと、Excel
[05:10:50] 話者A: え、え、えっと、
[05:11:80] 話者B: ヘルパーのExcelを、開いて。
[05:16:30] 話者A: また立ち上げますよね。
[05:17:70] 話者B: はい。
[05:22:30] 話者A: これ、これ、あれっすね、あの、
[05:25:20] 話者A: 辻さん側からもらってるやつっすね。
[05:28:10] 話者A: こいつで、
[05:31:50] 話者A: なんだっけ、チェック。
[05:38:30] 話者A: ちょっと待ってね。チェック。
[05:52:40] 話者A: なんかあれっすよね、ち、ちょっと全然話変わるんすけど、あの、
[05:59:40] 話者A: 確かこのチェック処理ってあの処理名が、あの、なんかJMSSの内容をパクったんですけど、あの、なんだっすかね、ちょっと、なんかもうちょい分かりやすい名前にしててよかったな、っていうのはちょっと反省しております。
[06:18:20] 話者A: 分かりづれえなと思って。
[06:21:40] 話者A: これっすよね、データチェック、これとか名前っすよね。これ。
[06:24:20] 話者B: そうです、はい。
[06:25:20] 話者A: 何、何、何チェックとか。
[06:27:40] 話者B: で、いらない。
[06:28:00] 話者A: Uジョブとかっすよね。
[06:29:40] 話者B: はい。
[06:30:10] 話者B: を削除しようと思ったんですけど、そこをどうやって削除したらいいのか分からなくって、
[06:38:40] 話者B: で、
[06:39:40] 話者A: ああ、そうこと？
[06:40:20] 話者B: 上の、上の部分コントロールからジョブネットワークごとは削除できるんです。あの、上からFの。
[06:46:10] 話者A: できますね。うん。はい。
[06:48:00] 話者B: でも、ユーザブが
[06:49:10] 話者A: こうっすよね、これか。
[06:50:50] 話者B: その、その大きいボタンのところですね。
[06:53:50] 話者A: はい。
[06:54:20] 話者B: で、その一番下のF11でジョブネットワークの削除はできるんですけど、それにぶら下がっている個別にユーザブだけここからここまで削除っていうのがと、できなくって、
[07:08:30] 話者B: で、えっと、最終的にやったのは、あの、本番のジョブセンターサーバーの実際のものを、えっと、加工して削除して、それをエクスポートして、これジョブネットワークをExcel上から全部削除してインポートし直して、形になった、やったんです。
[07:29:60] 話者A: なるほどね。
[07:31:20] 話者A: そうすると、まあ、IDが一番マックスから採番し直した状態なんで一番下に、え、出てきてしまったんですけど。
[07:43:20] 話者A: これって、えっと、本当の正しいというかユーザブだけ削除っていうのをやるのはどういう方法でやるのが本当は正しかったのかなとちょっと、あ、事後になっちゃうんですけど。
[07:56:50] 話者A: あれ、ごめんなさい、ふ、普通に消せませんでした？多分。
[08:00:80] 話者B: あ、いけるんですかね。なんか。
[08:02:10] 話者A: これ、これ、これあれじゃないですか。仮にこの印部消そうと思ったら。
[08:08:70] 話者A: こ、こう、多分こう、こうっすよね。
[08:10:40] 話者B: ああ。
[08:14:30] 話者B: それで右クリックから。
[08:15:30] 話者A: で、これ、番。
[08:17:40] 話者A: いや、これ右クリックできねえっすよ。
[08:21:40] 話者B: あ、普通に消してしまうんですね。
[08:24:20] 話者A: あ、そうそうそう。糞仕様です。
[08:26:20] 話者B: ああ、そういことが。ああ、なるほど。
[08:29:20] 話者A: こう、これこれで、で、これこれで、ここからペッて、あれ、間違えた。
[08:34:60] 話者A: ちょっと待ってね。こっから、までじゃないですか。で、こいつペッてやるじゃないですか。ポトポト。で、飛んだ時に、これ分岐のIDがあるんで、多分分岐4にしとかないと多分辻詰まんないはずなんすよ。これでチェックってやると、その合ってるか合ってないか見てくれるはずなんすよね。
[08:54:60] 話者A: で、ダメなら怒られます。
[08:56:40] 話者B: ああ。
[08:58:60] 話者B: あ、そうなんですね。
[08:59:30] 話者A: で、これでOKだったんで、こういう風にしないとダメなんですよ。仮にこれ5のままだと、仮にね、こうペッてやるじゃないですか。多分そ、そんな番号ねえぞって、むしろ飛んでるよって怒られると思うんすよね。
[09:12:60] 話者A: 言わないっすね。
[09:14:60] 話者B: あ、いける。
[09:16:10] 話者A: いけるんだな。これ、いけんの？本当にいけんのか。
[09:18:90] 話者A: ま、こんな感じで、あの、いいっすね。で、ここら辺の番号とかを振り直しちゃうと、ここら辺の多分先行のやつとか変えなきゃいけないんですよ。で、こいつは、えっと、フェ列のやつなんで、あの、こういうチェックでいいんすけど、そのフェ列じゃないやつは、もうちょっと考えないと、あの、ダメっすね。
[09:39:70] 話者A: なんで、やり方がちょっと、な、なんだっけな、ちょっと、仕様を理解してかないと多分できない、できないってか、俺もちょっと細かくマニュアル見てないんでなんとも言えないんすけど、これこういう状態じゃないですか。で、今更新したんで、飛ぶと思うんすよね。飛ぶってか、なくなってると思うんすよ。
[09:56:00] 話者B: ああ、上に上がった感じになるんですね。
[09:58:40] 話者A: で、これ5、5なんで、これ1個残っちゃってるじゃないですか。で、
[10:04:30] 話者A: これ、これもうちょっとめんどくせえんだよな、この、この動画な。
[10:09:20] 話者A: ちょ、で、これをちゃんと、あれ、4になっててもあれだな。となるとこれ分岐んとこに5ってのがどっか、あ、ここに5ありましたね。分岐5なんで4にして。
[10:22:60] 話者A: やると、ま、ていかないといけないのか。
[10:28:90] 話者A: よいしょ。ちょっと俺もこう、あの、あれっすね。全、全検索、ブックで検索してシート名で飛ぶっていうのでボイス見てます。これが一番行きやすいって。
[10:41:90] 話者B: ああ。
[10:42:50] 話者A: こんな感じでいくと4つになるんで、多分こういう風にしないと多分ダメだと思うんすよね。
[10:47:30] 話者B: あ、そういうことか。あの、行削除しようとしてて、削除ができないなと思って、困ってたんすけど、そう、あ、値をそのまま上に上げる感じでいけば。
[10:58:60] 話者A: ま、そうそうそう。飛ばしちゃえばオッケーです。そうすれば番号とかも、あの、ちゃんとオッケーなんで、大丈夫です。
[11:04:40] 話者A: で、ちょっと気をつけなきゃいけないのがさっきも言ったように、ここら辺の、こいつって分岐のポイントなんで、こいつがポイントになるんですよ、1、2、3、7、5。こいつとかなくしちゃうと、なくすってか、ちょっと変えたりすると、ま、変えたりってか、なんだろうな、追加とかする時は、新たにこの番号が振られてきちゃうんで、この分岐の番号が。それに合う形でその、上位の設定、上位っていうか、あの、前のやつっていう項目あるじゃないですか。ここの先行部品。
[11:32:50] 話者B: はい。
[11:33:50] 話者A: ここ多分同期とらなきゃいけないんで、ここがちょっとややこしいてかめんどくさいんすよ。
[11:39:30] 話者A: 合わせとかなきゃいけないんで。
[11:40:40] 話者B: ああ、なるほど。はい、分かりました。
[11:43:50] 話者A: 1、3、7じゃないですか。1、3、7ってのはこの、何だっけ、PA、RBってさっきの、あの、分岐のところになってるはずなんで。
