文字起こし結果

ファイル名: 20251015103137_20251016_104430.mp3
会議日時: 2025/10/16 10:44
処理日時: 2025-10-16T10:45:51.133737

========================================

[00:00:00] 話者A: ちょ、資料飛ばしてないんですけど、あの、えっと、薄緑環境じゃなかった、えっと、新AWSサーバーなんですけど、HTTPからHTTPSに、変更をされるんですよ。はい。なんで、ちょっとそれが終わったら、ちょっと関係者にちょっと周知しようかと思ってますので、ちょっとよろしくお願いししますというところですね。はい。それが1点と、で、あとは、あの、なんだっけ。サポートに質問一応投げときました。あの、例の件。はい。えっとですね。
[00:00:29] 話者A: えっと。
[00:00:30] 話者A: なんだっけ。一応、バックログに貼っといたんですけど。
[00:00:36] 話者A: あとですね、ちょっと言っとかなきゃいけないことがあって、あの、パスの件あったじゃないですか。パスというかエラーが出る件。
[00:00:41] 話者B: ああ、はい、長すぎる途っていうやつですね。
[00:00:44] 話者A: あ、そうそうそうそう。で、それあの、追加でそのパス長すぎるんだけどみたいな話をちょっと投げてた気満々でいたんだけど、でも送信ボタンを押し忘れてたらしくて。ちょっと昨日、昨日急遽押しましたっていう感じです。一応、こういう形で投げときました。あの、例の件は。一応三環境やります。で、運用しようと思ってます。IDかぶってんだけどなんかいい方法あるって話と、はい。あと、標準的な運用方法なんかあれば教えてくれと。
[00:01:11] 話者B: はい。そうですね。
[00:01:13] 話者A: あんまり、あんまり期待せずにくるかなと。うーん、というちょっと質問投げてんですけど。という状況でございます。はい。
[00:01:22] 話者B: はい。
[00:01:22] 話者A: で、あとは、ちょっとテスト設計がちょっとサボってた部分があったので、今一生懸命あの、また着手始めました。あのドクターサブロー関係のやつをやってるので、ま、ちょっとそこをでやってますと。作ってます。で、ドクターサブローのやつがですね、結構。あの、これ見えますかね？元々のこの作りがすごい複雑なんですよ。
[00:01:44] 話者B: ああ、はい。
[00:01:45] 話者A: これね。で、何々が終わったらこうで、一応それを加味した形でフローを作ってるんですけど。あの、ちょっと俺がやらかしてねえかってのがちょっと非常に不安ではあるんですけど、一応これ作ってますって感じで、もしよろしければ辻さんちょっとこれすいません確認してっていただけるかもしんないんでよろしく。あの、お願いしますって感じです。あの、めんどくさそうなやつはちょっと全部辻さんにお願いする気満々ではないんですけど、あの、ちょっと泣きが入るかもしれないです。っていう感じでございます。はい。そんな感じかな。ちょっと僕から以上でございますね。はい。
[00:02:19] 話者A: 辻さんの方から何かありますかね？
[00:02:21] 話者B: そうですね。ちょっと昨日からあの、本番環境の方での確認はちょっとスタート、ちょっとしてみてたんですけど。あの、
[00:02:29] 話者A: そうだそうだ。
[00:02:30] 話者B: そうです、あの、トリマスの方のコピーのところから、ま、ちょっと簡単なところからと思って、えっと、やってて、えっと、とりあえずは。
[00:02:38] 話者A: これですね。はい。
[00:02:39] 話者B: はい、あの、今日あのエラーをポンポンと発生させて、ま、メールが届いてるかと思うんですけど。ここって、えっと、件名なところデブがついてるなもうOKっていうのがなんかどっかでやり取りがありました。
[00:02:51] 話者A: もういいです。
[00:02:51] 話者B: 大丈夫ですか？
[00:02:52] 話者A: もういいです。あの、あの、いいですいいです。あの、取っ払おうかと思ったんですけど、もうちょっと、あの、今更取っ払うと第3次なんで、あの。
[00:03:00] 話者A: はい。
[00:03:00] 話者B: 色んなところにありそうですね。
[00:03:02] 話者A: そう。もう最悪、あの、全部一通りテストだったら、あの、装置感っていうですね、希少な手を使おうかなっていうのもあります。あの、ちょ、ちょっと今更言えねえなっていう感じでございます。
[00:03:14] 話者B: はい、分かりました。
[00:03:14] 話者A: はい、いいです。
[00:03:14] 話者B: じゃ、そこのところはOKとして、ま、もうまもなく、えっと、とりあえずは終わりそうなので、えっと、続けて、ま、えっと、新しい、ま、何にするかは決めてないですけど、ま、ちょっととりあえずちょっと簡単なところから行こうかなと。
[00:03:28] 話者A: そうですね。はい。
[00:03:29] 話者B: 分かりました。
[00:03:30] 話者A: あ、で、そうそう。これ聞こうと思ったんですけど、あの、簡単にあの、トリマスのが、値がちゃんと変わってるよねっていうのも見といてくださいっていう話をちょっとテスト設計に書いてたんですけど。あの、簡単でいいんでちょっと見といていただけると嬉しいかなと思います。あの、名前とか、名前、住所、え、あとあれかな、代表者名とかがちゃんと変わってればOKなんで、はい。ちょっと見といていただけると嬉しいかなと思います。はい。
[00:03:52] 話者B: はい、承知しました。
[00:03:53] 話者A: あ、もう本当そのレベルでいいです。あの、これガッツリやる必要全くないです。あの。
[00:03:58] 話者A: 大丈夫です。そののり出せば大丈夫です。
[00:03:59] 話者B: はい。
[00:04:00] 話者A: そうそう、言おうと思って忘れました。ちゃんとメモれって話ですよね。ちょっと話さなきゃいけないことね。うん。そうなんすよ。ちょっとね。ちょ、ちょっとさっきサボってます。申し訳ないです。はい。はい。
[00:04:12] 話者B: じゃ、とりあえずは。
[00:04:13] 話者A: じゃ、とりあえずは。あれですからね、粛々とやっていただく形で。俺も粛々とこう。あの、テスト設計、粛々と作るしかないんで。感じでやってます。
[00:04:24] 話者B: うん。今んとこ、動用別途作業っていうのは発生してないんで、はい。
[00:04:28] 話者A: そうですね。はい。
[00:04:30] 話者B: そうですね。
[00:04:31] 話者A: そうですね。
[00:04:33] 話者A: で、ちょ、ちょっと、まあ、まあ、並行してその運用設計どうするかという話もちょ考えなきゃいけないんですけど。うーん、ちょ、ちょっと、ね、やっぱ、なんつうだろうな。ま、ちょっと、なんつうだろう。JMSCSに慣れすぎたってのもちょっと正直あるんですけど。
[00:04:48] 話者B: うん。
[00:04:49] 話者A: ちょっとJMSCSとジョブセンターのその、なんつうんだろうな、仕様がこう。なんだろう。いけてない、いけてないじゃない、なんつうんだろうな、こう。痒いところに、痒いとことか、あの、JMSCSの融通が効いてたところを。
[00:05:06] 話者B: うん。
[00:05:07] 話者A: あの、ジョブセンター全く切り捨てた感が俺ん中で印象あるんですよ。
[00:05:13] 話者B: ああ。そうですね。
[00:05:15] 話者A: ちょっとそこら辺がちょっと、うーん。いやいやなんつうんだろうな。ちょっとやりづらいってのがちょっとあるかなと思うんすよね。で、あと、まあ、ま、だいたい繰り返しって言ってるんですけど、ま、ちょっと辻さんに言ったかどうかわかんないんですけど。ジョブセンター。
[00:05:30] 話者A: どうしてくれんだかなあっていう。あの、1月以降ですね。あの。ま、僕ら、僕らてか、あの、いじってる人たちはまあまあしょうがねえなと思ってやってはいるんですけど。うーん、ちょっとんなあっていうこう。うーん。ちょっと悩ましいなと思ってます。あの。
[00:05:51] 話者A: 悩ましいなと思ってます。もう悩ましいしか言えねえっす。あとあれだな、辻さんちょっとあれだな、相談したかったことが、相談ってわけじゃないんですけど。あの、なんだろうな。ま、いっか。心ないことに、ちょっとやっぱ、ちょっとしくってんですね、やっぱ俺。まあ、悩ましいよな、ま、いいんだろうけどな、既存の。やっぱこう、なんつうんだろうな、こう、こういう風にやっぱ、なんだろうな、ジョブセンター継承しちゃって。これ貫通名とかにしてると、この処理が何してるかよくわかんねえなと。
[00:06:24] 話者B: あー。
[00:06:25] 話者A: ちょっと言いた、なんで、ちょっと、そこら辺いらしいなってのちょっとあるんですけど、まあいいか。もうやむなしいだろうな。どちらかというとこっちの方が分かりやすいんですよ、何があって。こっちにしちゃうと、うん、あ、これも分かりやすいんだけど、これなんだと。
[00:06:38] 話者B: うん。
[00:06:39] 話者A: 調べなきゃいけないっていうちょ、めんどくささがあったけど、まあいいっかと。まあいいっか。
[00:06:44] 話者B: パッと見分かんないですね。
[00:06:45] 話者A: 分かんないですね。ちょ、しくったなと、もう諦め、諦め。もうやってみて分かるっていう。ま、ここもちょっとあれだな。超心にゆとりがあったらちょっと。
[00:06:57] 話者B: あー。
[00:06:57] 話者A: 直すかって話ですけど、今は超、超心にゆとりが全くないのと。
[00:07:02] 話者B: そうですね。
[00:07:11] 話者A: はい。一応あとこれか。ちょっと共有しとくと。こういう形で、あの、えっと、その、何の処理でエラーが出たかってたまに書いてる処理があったりするんですけど。これちょっとご認識の通り、同じ名前にするとこれ登録できないんで。区別両にやった感じですね。これ漢字って。
[00:07:27] 話者B: ああ、はいはいはいはい。
[00:07:28] 話者A: そうなんすよ。なんで、ちょっとそういうのがちょっと両者でやるのと、ま、それもちょっと、なあ、なんつうんだろうな。なんかあれすよね。ヘルパーで、ヘルパーっていうか、Excelのヘルパーでなんか管理してる所やるってやっぱ、ボックス単位でいちいになっても分かりやすいんですよね、これね。何の処理のあれだろうってのがあったりするんで。それもちょっと悩ましいなと思いながら。てはいるんですけど、ま、多分この異常メールとかメール送信ってのが多分腐るほどあるんで、多分辻さんが苦労してやるだとは思うんですけど。
[00:07:59] 話者B: はいはいはい。
[00:08:00] 話者A: ま、ちょ、しょうがねえな。あとこれ、ま、そっか、言っとくとこれね、名前の長さも当たったりするんですよ。
[00:08:05] 話者B: あ、そうなんですね。
[00:08:06] 話者A: そうなんすよ。で、かつ。そうなんすよ。で、かつ、なんかね、あの、複合技ってか、あの、心の名前の長さ以外に、なんか処理として登録する時の名前の長さが上限があるらしくて。
[00:08:18] 話者B: ああ。
[00:08:19] 話者A: ちょっとよくわかんないですけどね。だから、ヘタに長いのにやると、長くて、こう、なんていうか、深い処理、いや、どんどん掘っていく処理とかにしとくと、あの、長すぎるって怒られるんですよ。
[00:08:31] 話者B: なるほど。
[00:08:32] 話者A: そうなんすよ。そういう仕様も入ってるっていうね、こう。ちょっといらしいんすよね。だから内部的に多分持ってんだと思うんですけど、その。その多分上から多分足していくんですよね、この、ドンドンドンって、ピピピッて。で、足した時に多分桁数を超えるんで、あの、キャパオーバーですみたいな感じなんだと思うんですけど。ま、そういうのもちょっと前ちょっと課題として上がってて、多分、多分、この、なんだっけ。バックログとかにも書いた記憶はあるんですけどね。そう、そういう状況でございます。ま、ちょっと余談でしたという感じですね。はい。終わりました。じゃ、ちょっと申し訳ないですけど、辻さん、とりあえずは粛々とテストをよろしくお願いいたします。で、俺も粛々とあの、テスト設計頑張りますっていう感じなので。はい。はい。じゃあちょっと早いっすけど、以上で終わろうかと思いますので、はい。じゃ、すいません、引き続きよろしくお願いいたします。じゃ、お疲れ様でした。
[00:09:25] 話者B: ありがとうございました。
[00:09:26] 話者A: ありがとうございました。失礼します。
[00:09:28] 話者A: 失礼します。

========================================

Meeting Minutes BYC システム
生成日時: 2025-10-16 10:45:51
生成システム: Meeting Minutes BYC v1.0.0
