文字起こし結果

ファイル名: 20251015103137_20251016_083503.mp3
会議日時: 2025/10/16 08:34
処理日時: 2025-10-16T08:36:17.138570

========================================

[00:00:00] 説明者: ちょっと資料を用意してないんですけど、あの えっ、薄緑環境じゃなかった、えっと、新AWSサーバーなんですけど、HTTPからHTTPSに変換されるんですよ。なんで、ちょっとそれが終わったら、ちょっと関係者にちょっと周知しようかと思ってますので、ちょっとよろしくお願いし ます、というところですね。はい。それが1点と、で、あとはあの、なんだっけ？
[00:00:23] 説明者: サポートに質問一応投げとけました。あの、例の件。えっとですね。
[00:00:29] 説明者: えっと、なんだっけ？一応バックログに、えっと、貼っといたんですけど。
[00:00:36] 説明者: あとですね、ちょっと言っとかなきゃいけないことがあって、あのパスの件あったじゃないですか。パスというかエラーが出る件。
[00:00:41] 辻: ああ、はい、長すぎる、と、っていうやつですね。
[00:00:44] 説明者: あ、そうそうそうそう。で、それ、あの、追加でそのパス長すぎるんだけど、みたいな話をちょっと投げる気満々でいたんだけど、どうも送信ボタンを押し忘れてたらしくて、ちょっと昨日、昨日急遽押しましたっていう感じです。一応こういう形で投げときますた。あの、例の件は。
[00:01:02] 説明者: 一応3環境やります。で、運用しようと思ってます。IDかぶってんだけどなんかいい方があるって話と、あと標準的な運用方法、なんかあれば教えてくれと。
[00:01:11] 辻: はい、そうですね。
[00:01:14] 説明者: あまり、あまり期待せずにいるかなと。うーん、というちょっと質問投げてんですけど。という状況でございます。はい。
[00:01:21] 辻: はい。
[00:01:22] 説明者: で、あとはちょっとテスト設計をちょっとサボってた部分があったので、今一生懸命あの、また着手始めました。あのドクターサムライ関係のやつをやってるので、ま、ちょっとそこをでやってますと。作ってません。で、ドクターサムライのやつがですね、結構
[00:01:39] 説明者: あの、これ見えますかね？元々のこの作りがすごい複雑なんですよ。
[00:01:44] 辻: ああ、はい。
[00:01:45] 説明者: これね。で、何々が終わったらこう、で、一応それを加味した形でフローを作ってるんですけど。
[00:01:52] 説明者: あの、ちょっと俺がやらかしてねえかってのがちょっと非常に不安ではあるんですけど、一応これ作ってますという感じで、もしかしたら辻さんちょっとこれすいません確認してっていわゆる可能性もあるんでよろしく。あの、お願いしますって感じです。
[00:02:06] 説明者: あの、めんどくさそうなやつちょっと全部辻さんにお願いする気満々ではないんですけど、あの、ちょっと泣きが、泣きが入るかもしれないです、という感じでございます。はい。そんな感じかな。ちょっと僕から以上でございますね。はい。
[00:02:19] 辻: はい。
